YEAR,JAN,FEBÂ ,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1968,1.9,2.7,2.3,0.4,0.4,1.1,1.1,2.3,0.4,2.3,0.7,1.5
1969,1.5,1.5,3.4,5.3,4.5,4.9,3.7,3.3,3.3,3.3,1.9,3.4
1970,1.8,1.8,-1.4,1.1,1.4,-1.1,1.1,-0.7,0.4,1.1,2.2,2.5
1971,2.9,1.4,2.2,-2.8,-2.1,-0.4,-2.1,2.9,2.9,1.8,0.4,-0.4
1972,-0.7,-0.4,0.4,1.1,2.2,0.7,2.5,0.4,1.7,1.4,3.2,2.8
1973,3.5,5.4,5.7,8.7,8.5,12.2,11.3,9.8,6.5,10.7,14.8,19.6
1974,26.7,32.7,41.6,41.5,43.3,40.9,41.1,40.1,40.5,32,25.7,20.7
1975,14.3,8.7,1.4,0.9,0.2,2.3,6.1,7.5,8.5,11.1,11.4,11
1976,9.9,8.5,6.8,5.1,4.8,4.4,1.5,1.5,1.5,1.9,2.6,2.8
1977,3,5.4,7.5,9.3,8.9,6.8,5.7,5,4.6,4.4,4.4,4.8
1978,4.8,3.3,2.5,1.6,1.4,2,3.4,4.8,5.8,6.2,7.4,8.6
1979,10,12.4,16.6,23.5,29,36.5,42,46,49.4,50.5,50.7,52.1
1980,60.1,67.9,68.1,59.7,51.7,42,34.5,28.8,23.9,22.1,20.7,18.9
1981,15,14.8,13.4,11.9,10.9,10.2,9.6,9.5,10.3,10.6,10.5,9.4
1982,5.4,-2.9,-8.7,-12.5,-11.1,-5.4,-3.1,-3.2,-4.1,-4.7,-5.3,-6.7
1983,-8.4,-10,-9.2,0.2,2.9,-1.5,-2.7,-2.2,-1.8,-2.1,-2.5,-1.6
1984,-0.4,2.6,5.8,1.8,-1.1,-2.9,-5,-6.1,-5,-3.2,-2.4,-2.5
1985,-3.7,-4.6,-2.4,-0.1,1.2,2.6,4.2,4.3,2.7,1,1.8,3
1986,4.5,-0.2,-14.5,-25.4,-24.2,-22.2,-27.4,-30.5,-28.3,-29.8,-30.8,-30.7
1987,-26.1,-18.1,-6,6.5,3.5,2.2,11.1,20.3,17.5,19.7,21,18.6
1988,9.4,2.9,1.2,1,2.9,0.7,0.2,-0.1,-1.1,-1.8,-2,-1.8
1989,-0.1,2.6,5.2,16.3,18.9,18.3,14.9,8.2,6.9,8.8,6.9,6.5
1990,14.1,12.6,9.6,-1.2,-4.4,-1.7,-0.2,13.2,25.9,33.7,36.6,36.8
1991,19.2,10.1,5.7,5.4,8.4,6.3,4,-3.7,-10.7,-17.3,-16.6,-16.2
1992,-12.7,-6.6,-1.1,-1.1,-0.8,2.4,4.8,2.5,2,3.4,3.1,2
1993,4.5,5.5,4.2,3.6,0.2,-3.3,-4.8,-4.8,-5.8,-2.3,-4.3,-5.9
1994,-6.5,-4.9,-4.5,-4,-4,-1.7,2.4,7.4,8,2.5,4.9,6.4
1995,6.8,5.1,4.9,5.3,9,8.6,3.3,-3,-3.8,-3.6,-6.4,-4.2
1996,-0.2,0.1,4,9,8.7,4.4,4.9,5,6,7.3,11.6,12.4
1997,9.9,9.8,4.6,-2.6,-7.1,-5,-4.9,1.2,3.3,1.2,-2.8,-6.1
1998,-9.9,-12.9,-14.7,-13.6,-10.5,-10.5,-10,-15.2,-18,-15.2,-14.3,-15.4
1999,-13.1,-11.1,-5,10.2,7,4.6,9.3,17.7,22.6,21.2,21.9,30.1
2000,32.4,41.2,52.6,27.4,26.6,40.3,32.9,19.1,22.4,20.9,21.6,13.9
2001,12.4,8.1,-5.8,3.8,14.4,2.2,-7.8,-5.1,-2.7,-12.6,-21.5,-24.9
2002,-22.7,-23,-13.1,-9,-17.3,-15.4,-3.7,-0.2,-7.3,7.2,19.3,24.8
2003,29.3,43.1,37.6,15.8,8.1,8.4,8.1,14.5,21,9.8,5.5,6.8
2004,8.3,2,1.6,11,30,33.4,26.5,16.5,9.6,26.6,30.9,26.1
2005,14.3,14.7,16.8,24.2,10.3,6.9,19.5,31.3,54.8,37,16.1,16.1
2006,27.4,20.6,17,21.5,33.4,34,29.6,19.6,-11.9,-18.3,-4.2,6.4
2007,-2.7,-1.4,7.2,3.2,6,5,-1.1,-6.4,8.7,23.4,37.1,29.6
2008,34.5,32.7,26,20.7,20.8,32.8,37.9,35.6,31.7,12,-29.4,-43.1
2009,-40.4,-35.6,-39.3,-39.5,-39.4,-34.6,-37.3,-30,-29.7,-17.9,23.6,53.5
2010,51.3,36.8,41.4,38.3,27,3.9,7.4,4.4,5.1,9.5,7.3,13.8
2011,13.4,19.2,27.5,33.1,36.9,35.6,33.6,32.4,33.3,23.5,19.7,9.9
2012,9.7,12.6,9,3.2,-4,-4.3,-5.5,1.8,6.8,9.1,1.9,1.7
2013,-1.5,3.3,-3.1,-8.3,-4.1,2.8,5.2,-2.4,-7.5,-10.1,-5.8,-1
2014,0.1,-8.1,-4.7,2.4,2.3,2,0.8,-2.8,-3.6,-5,-10.5,-21
2015,-35.4,-32.8,-29.2,-31.7,-25,-23.3,-22.3,-23.3,-29.6,-27.8,-24.1,-19.7
2016,-7.3,-20.7,-20.9,-13.8,-16.9,-15.4,-19.9,-17.8,-6.5,-0.9,1,9.1
2017,20.3,30.7,19.9,14.3,5.8,-0.4,3,10.4,19.3,10.8,16.5,10.7
2018,8.5,12.6,11.1,13.4,21.8,24.3,25.4,20.3,9.1,16.1,5,-2.1
